Timestamp,Frame,Count,FPS,Avg_Confidence
2025-12-29 15:51:42.342,274,1,33.5,0.52
2025-12-29 15:51:42.450,275,0,36.9,0.0
2025-12-29 15:51:42.553,276,0,30.0,0.0
2025-12-29 15:51:42.689,277,0,24.3,0.0
2025-12-29 15:51:42.772,278,0,31.2,0.0
2025-12-29 15:51:42.845,279,0,37.5,0.0
2025-12-29 15:51:42.938,280,1,35.8,0.5
2025-12-29 15:51:43.020,281,0,30.1,0.0
2025-12-29 15:51:43.112,282,1,35.8,0.51
2025-12-29 15:51:43.212,283,0,38.7,0.0
2025-12-29 15:51:43.324,284,0,27.8,0.0
2025-12-29 15:51:43.445,285,0,34.0,0.0
2025-12-29 15:51:43.561,286,0,19.4,0.0
2025-12-29 15:51:43.693,287,0,26.2,0.0
2025-12-29 15:51:43.813,288,0,41.7,0.0
2025-12-29 15:51:43.925,289,0,23.9,0.0
2025-12-29 15:51:44.013,290,0,26.7,0.0
2025-12-29 15:51:44.140,291,0,25.5,0.0
2025-12-29 15:51:44.248,292,1,21.4,0.47
2025-12-29 15:51:44.337,293,1,37.0,0.46
2025-12-29 15:51:44.463,294,1,18.5,0.49
2025-12-29 15:51:44.586,295,0,32.4,0.0
2025-12-29 15:51:44.676,296,1,36.9,0.77
2025-12-29 15:51:44.786,297,0,27.7,0.0
2025-12-29 15:51:44.884,298,0,31.6,0.0
2025-12-29 15:51:44.996,299,2,32.4,0.55
2025-12-29 15:51:45.144,300,0,35.7,0.0
2025-12-29 15:51:45.239,301,0,34.5,0.0
2025-12-29 15:51:45.346,302,0,33.1,0.0
2025-12-29 15:51:45.441,303,0,42.7,0.0
2025-12-29 15:51:45.537,304,0,41.6,0.0
2025-12-29 15:51:45.646,305,1,26.5,0.82
2025-12-29 15:51:45.735,306,0,48.3,0.0
2025-12-29 15:51:45.860,307,0,29.0,0.0
2025-12-29 15:51:45.967,308,1,32.7,0.51
2025-12-29 15:51:46.044,309,1,40.2,0.63
2025-12-29 15:51:46.160,310,1,37.0,0.65
2025-12-29 15:51:46.259,311,2,27.5,0.49
2025-12-29 15:51:46.363,312,1,25.6,0.64
2025-12-29 15:51:46.472,313,2,27.4,0.67
2025-12-29 15:51:46.576,314,0,30.3,0.0
2025-12-29 15:51:46.729,315,0,40.3,0.0
2025-12-29 15:51:46.810,316,1,41.7,0.48
2025-12-29 15:51:46.937,317,1,29.4,0.65
2025-12-29 15:51:47.029,318,1,35.7,0.42
2025-12-29 15:51:47.158,319,1,23.1,0.5
2025-12-29 15:51:47.264,320,1,32.9,0.51
2025-12-29 15:51:47.372,321,2,31.3,0.45
2025-12-29 15:51:47.479,322,1,26.0,0.42
2025-12-29 15:51:47.602,323,1,21.8,0.58
2025-12-29 15:51:47.707,324,2,28.0,0.68
2025-12-29 15:51:47.818,325,1,41.4,0.45
2025-12-29 15:51:47.915,326,2,28.8,0.51
2025-12-29 15:51:48.037,327,3,29.9,0.53
2025-12-29 15:51:48.134,328,2,44.7,0.52
2025-12-29 15:51:48.233,329,2,30.1,0.43
2025-12-29 15:51:48.361,330,1,38.4,0.43
2025-12-29 15:51:48.475,331,0,33.1,0.0
2025-12-29 15:51:48.577,332,3,32.4,0.53
2025-12-29 15:51:48.685,333,2,23.9,0.51
2025-12-29 15:51:48.794,334,2,27.8,0.49
2025-12-29 15:51:48.904,335,2,33.7,0.57
2025-12-29 15:51:49.000,336,2,31.0,0.62
2025-12-29 15:51:49.114,337,2,22.5,0.55
2025-12-29 15:51:49.217,338,1,43.7,0.48
2025-12-29 15:51:49.338,339,2,38.1,0.52
2025-12-29 15:51:49.444,340,2,28.5,0.48
2025-12-29 15:51:49.536,341,1,30.2,0.46
2025-12-29 15:51:49.652,342,2,30.5,0.5
2025-12-29 15:51:49.766,343,2,28.0,0.49
2025-12-29 15:51:49.869,344,1,30.9,0.45
2025-12-29 15:51:50.016,345,1,25.6,0.53
2025-12-29 15:51:50.095,346,1,42.7,0.48
2025-12-29 15:51:50.201,347,1,25.7,0.64
2025-12-29 15:51:50.312,348,2,30.1,0.46
2025-12-29 15:51:50.411,349,1,24.7,0.58
2025-12-29 15:51:50.502,350,1,27.9,0.49
2025-12-29 15:51:50.623,351,1,21.8,0.71
2025-12-29 15:51:50.746,352,1,24.0,0.4
2025-12-29 15:51:50.855,353,1,22.6,0.42
2025-12-29 15:51:50.966,354,0,44.1,0.0
2025-12-29 15:51:51.093,355,0,15.3,0.0
2025-12-29 15:51:51.206,356,0,28.2,0.0
2025-12-29 15:51:51.332,357,0,28.1,0.0
2025-12-29 15:51:51.436,358,0,29.3,0.0
2025-12-29 15:51:51.534,359,0,34.9,0.0
2025-12-29 15:51:51.678,360,0,51.7,0.0
2025-12-29 15:51:51.791,361,0,34.0,0.0
2025-12-29 15:51:51.892,362,0,38.2,0.0
2025-12-29 15:51:52.004,363,1,26.9,0.41
2025-12-29 15:51:52.096,364,0,33.8,0.0
2025-12-29 15:51:52.216,365,1,33.7,0.67
2025-12-29 15:51:52.345,366,1,26.4,0.57
2025-12-29 15:51:52.463,367,1,30.4,0.73
2025-12-29 15:51:52.588,368,1,28.3,0.47
2025-12-29 15:51:52.708,369,0,25.3,0.0
2025-12-29 15:51:52.810,370,2,26.3,0.59
2025-12-29 15:51:52.904,371,1,38.2,0.42
2025-12-29 15:51:53.028,372,1,26.5,0.64
2025-12-29 15:51:53.144,373,1,27.6,0.42
2025-12-29 15:51:53.255,374,2,26.4,0.57
2025-12-29 15:51:53.395,375,1,37.8,0.42
2025-12-29 15:51:53.516,376,1,24.6,0.46
2025-12-29 15:51:53.638,377,1,28.7,0.52
2025-12-29 15:51:53.733,378,1,29.9,0.67
2025-12-29 15:51:53.835,379,2,30.1,0.51
2025-12-29 15:51:53.923,380,1,39.5,0.47
2025-12-29 15:51:54.034,381,1,22.2,0.52
2025-12-29 15:51:54.126,382,1,29.2,0.52
2025-12-29 15:51:54.235,383,1,28.8,0.58
2025-12-29 15:51:54.346,384,0,36.0,0.0
2025-12-29 15:51:54.468,385,0,25.1,0.0
2025-12-29 15:51:54.549,386,3,33.1,0.61
2025-12-29 15:51:54.655,387,1,35.1,0.64
2025-12-29 15:51:54.776,388,1,36.7,0.71
2025-12-29 15:51:54.858,389,1,34.7,0.71
2025-12-29 15:51:55.026,390,3,32.2,0.52
2025-12-29 15:51:55.162,391,0,25.7,0.0
2025-12-29 15:51:55.269,392,1,28.4,0.55
2025-12-29 15:51:55.361,393,3,31.4,0.59
2025-12-29 15:51:55.467,394,3,24.0,0.59
2025-12-29 15:51:55.580,395,1,25.9,0.44
2025-12-29 15:51:55.670,396,2,31.2,0.55
2025-12-29 15:51:55.799,397,2,31.5,0.6
2025-12-29 15:51:55.902,398,1,31.2,0.55
2025-12-29 15:51:56.014,399,1,31.6,0.7
2025-12-29 15:51:56.112,400,1,43.1,0.63
2025-12-29 15:51:56.238,401,1,25.7,0.53
2025-12-29 15:51:56.342,402,2,35.7,0.51
2025-12-29 15:51:56.461,403,2,22.3,0.5
2025-12-29 15:51:56.554,404,5,29.0,0.49
2025-12-29 15:51:56.684,405,2,28.1,0.58
2025-12-29 15:51:56.786,406,1,28.9,0.46
2025-12-29 15:51:56.894,407,1,24.2,0.64
2025-12-29 15:51:56.975,408,0,27.4,0.0
2025-12-29 15:51:57.083,409,0,27.8,0.0
2025-12-29 15:51:57.201,410,0,24.8,0.0
2025-12-29 15:51:57.299,411,0,40.8,0.0
2025-12-29 15:51:57.404,412,0,27.4,0.0
2025-12-29 15:51:57.519,413,0,35.6,0.0
2025-12-29 15:51:57.610,414,1,43.1,0.41
2025-12-29 15:51:57.717,415,0,30.1,0.0
2025-12-29 15:51:57.822,416,0,43.5,0.0
2025-12-29 15:51:57.932,417,0,46.5,0.0
2025-12-29 15:51:58.021,418,0,31.7,0.0
2025-12-29 15:51:58.127,419,0,42.1,0.0
2025-12-29 15:51:58.287,420,1,40.0,0.42
2025-12-29 15:51:58.408,421,1,26.8,0.61
2025-12-29 15:51:58.509,422,0,30.7,0.0
2025-12-29 15:51:58.673,423,0,30.7,0.0
2025-12-29 15:51:58.818,424,0,26.3,0.0
2025-12-29 15:51:58.919,425,1,29.5,0.56
2025-12-29 15:51:59.006,426,0,31.9,0.0
2025-12-29 15:51:59.115,427,0,29.2,0.0
2025-12-29 15:51:59.204,428,0,49.1,0.0
2025-12-29 15:51:59.299,429,0,47.4,0.0
2025-12-29 15:51:59.394,430,1,42.2,0.43
2025-12-29 15:51:59.506,431,0,25.3,0.0
2025-12-29 15:51:59.615,432,0,37.9,0.0
2025-12-29 15:51:59.709,433,0,25.4,0.0
2025-12-29 15:51:59.804,434,1,28.4,0.44
2025-12-29 15:51:59.988,435,0,24.1,0.0
2025-12-29 15:52:00.075,436,0,36.6,0.0
2025-12-29 15:52:00.183,437,1,28.3,0.4
2025-12-29 15:52:00.286,438,0,36.7,0.0
2025-12-29 15:52:00.372,439,0,33.1,0.0
2025-12-29 15:52:00.491,440,0,24.7,0.0
2025-12-29 15:52:00.607,441,2,26.4,0.45
2025-12-29 15:52:00.712,442,2,23.9,0.57
2025-12-29 15:52:00.805,443,1,31.1,0.61
2025-12-29 15:52:00.927,444,0,24.7,0.0
2025-12-29 15:52:01.019,445,2,26.6,0.51
2025-12-29 15:52:01.115,446,1,29.0,0.43
2025-12-29 15:52:01.219,447,0,37.5,0.0
2025-12-29 15:52:01.342,448,1,28.3,0.61
2025-12-29 15:52:01.448,449,1,28.6,0.66
2025-12-29 15:52:01.674,450,1,25.5,0.5
2025-12-29 15:52:01.768,451,3,39.1,0.49
2025-12-29 15:52:01.894,452,2,24.9,0.53
2025-12-29 15:52:02.003,453,1,28.1,0.71
2025-12-29 15:52:02.087,454,0,36.3,0.0
2025-12-29 15:52:02.186,455,4,26.8,0.6
2025-12-29 15:52:02.303,456,3,30.6,0.62
2025-12-29 15:52:02.427,457,4,23.4,0.58
2025-12-29 15:52:02.533,458,4,28.9,0.6
2025-12-29 15:52:02.657,459,5,45.5,0.55
2025-12-29 15:52:02.778,460,4,27.4,0.62
2025-12-29 15:52:02.866,461,5,35.3,0.59
2025-12-29 15:52:02.963,462,4,36.6,0.58
2025-12-29 15:52:03.068,463,4,31.1,0.66
2025-12-29 15:52:03.185,464,1,44.7,0.69
2025-12-29 15:52:03.402,465,4,29.6,0.56
2025-12-29 15:52:03.503,466,4,31.5,0.58
2025-12-29 15:52:03.611,467,3,26.8,0.57
2025-12-29 15:52:03.730,468,1,24.2,0.52
2025-12-29 15:52:03.822,469,0,42.0,0.0
2025-12-29 15:52:03.934,470,0,40.6,0.0
2025-12-29 15:52:04.034,471,0,30.8,0.0
2025-12-29 15:52:04.144,472,0,43.7,0.0
2025-12-29 15:52:04.245,473,0,28.9,0.0
2025-12-29 15:52:04.363,474,0,39.9,0.0
2025-12-29 15:52:04.468,475,0,25.6,0.0
2025-12-29 15:52:04.563,476,0,29.7,0.0
2025-12-29 15:52:04.657,477,0,34.4,0.0
2025-12-29 15:52:04.774,478,1,28.4,0.41
2025-12-29 15:52:04.897,479,1,32.9,0.47
2025-12-29 15:52:05.022,480,0,27.0,0.0
2025-12-29 15:52:05.121,481,0,23.7,0.0
2025-12-29 15:52:05.237,482,2,28.4,0.51
2025-12-29 15:52:05.334,483,1,29.0,0.59
2025-12-29 15:52:05.436,484,2,27.6,0.43
2025-12-29 15:52:05.536,485,1,35.1,0.53
2025-12-29 15:52:05.649,486,1,39.2,0.5
2025-12-29 15:52:05.764,487,1,29.2,0.66
2025-12-29 15:52:05.869,488,1,24.7,0.56
2025-12-29 15:52:05.982,489,2,25.4,0.58
2025-12-29 15:52:06.082,490,0,34.2,0.0
2025-12-29 15:52:06.182,491,1,38.9,0.45
2025-12-29 15:52:06.294,492,1,29.1,0.65
2025-12-29 15:52:06.389,493,2,32.9,0.53
2025-12-29 15:52:06.508,494,2,25.0,0.57
2025-12-29 15:52:06.648,495,4,26.0,0.6
2025-12-29 15:52:06.750,496,3,29.7,0.54
2025-12-29 15:52:06.859,497,2,39.6,0.6
2025-12-29 15:52:06.991,498,1,28.4,0.72
2025-12-29 15:52:07.128,499,2,24.1,0.54
2025-12-29 15:52:07.249,500,2,29.5,0.58
2025-12-29 15:52:07.360,501,2,31.1,0.57
2025-12-29 15:52:07.456,502,2,29.1,0.58
2025-12-29 15:52:07.609,503,0,28.3,0.0
2025-12-29 15:52:07.711,504,0,28.9,0.0
2025-12-29 15:52:07.821,505,0,37.8,0.0
2025-12-29 15:52:07.917,506,0,32.4,0.0
2025-12-29 15:52:08.021,507,0,26.5,0.0
2025-12-29 15:52:08.106,508,0,36.4,0.0
2025-12-29 15:52:08.221,509,0,47.6,0.0
2025-12-29 15:52:08.367,510,0,34.4,0.0
2025-12-29 15:52:08.486,511,1,25.6,0.41
2025-12-29 15:52:08.619,512,0,21.6,0.0
2025-12-29 15:52:08.719,513,0,30.3,0.0
2025-12-29 15:52:08.835,514,1,48.1,0.5
